,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
2165,2165,24.0,22.0,25.0,7.0,0.8891,,16434.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Butte,0.4931,6354.0,COED,Graduate,46.0122,-112.557,51600,42000,39800,33900,Public,0.0066,0.006,0.49000000953674,0.0126,,0.0904,0.7326,0.3597,,0.8137,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,580.0,1115.0,560.0,515.0,Montana Tech of the University of Montana,www.mtech.edu,9014.0,MT,6464.0,18606.0,180416,1825.0,59701-8997,0.37000000476837,46815.34
2166,2166,24.0,24.0,24.0,,0.8449,,18486.0,,Research Universities (very high research activity),"Large 4-year, primarily residential (over 9,999)","Full-time four-year, selective, higher transfer-in",Bozeman,0.4941,8068.0,COED,Graduate,45.6668,-111.0499,44800,34700,39700,30500,Public,0.0103,0.0071,0.49000000953674,0.0315,,0.1649,0.8485,0.3161,,0.8701,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,570.0,1115.0,565.0,545.0,Montana State University,www.montana.edu/,7209.0,MT,6752.0,20717.0,180461,13055.0,59717,0.18000000715255,63595.51
2167,2167,24.0,23.0,23.0,,0.9423,,17440.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, lower transfer-in",Missoula,0.4708,9948.0,COED,Graduate,46.8611,-113.9829,39900,31300,34100,26000,Public,0.0119,0.0076,0.54000002145767,0.0391,,0.1933,0.6824,0.3912,,0.8045,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,535.0,1090.0,555.0,530.0,The University of Montana,www.umt.edu,7041.0,MT,6045.0,21719.0,180489,11630.0,59812,0.28000000119209,53798.72
2168,2168,20.0,18.0,20.0,6.0,1.0,,17290.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Havre,0.3656,5164.0,COED,Graduate,48.5411,-109.6865,39100,33100,35300,31200,Public,0.0144,0.0144,0.50999999046325,0.0168,,0.2664,0.663,0.4913,,0.768,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,445.0,925.0,438.0,428.0,Montana State University-Northern,www.msun.edu,7935.0,MT,5480.0,17312.0,180522,1250.0,59501,0.37000000476837,41110.94
2169,2169,22.0,22.0,22.0,7.0,0.6683,,32987.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Billings,0.4033,5787.0,COED,Graduate,45.7968,-108.5539,47000,33600,38200,29800,Private nonprofit,0.0073,0.025,0.50999999046325,0.0447,,0.0229,0.6339,0.3734,,0.8044,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",United Church of Christ,510.0,1024.0,505.0,493.0,Rocky Mountain College,rocky.edu,6433.0,MT,23718.0,23718.0,180595,961.0,59102-1796,0.20000000298023,60415.88
2170,2170,,,,,,,13301.0,,Tribal Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Pablo,0.5275,4935.0,COED,Bachelors,47.5969,-114.1072,28200,21200,24100,17000,Private nonprofit,0.0,0.0049,0.61000001430511,0.0099,,0.1422,0.5741,0.8455,,0.2435,Associate,"Rocky Mountains (CO, ID,MT, UT, WY)",,,,,,Salish Kootenai College,www.skc.edu,14895.0,MT,4191.0,11463.0,180647,809.0,59855,0.5,17733.06
2171,2171,,,,,,,14947.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, inclusive",Dillon,0.3704,4790.0,COED,Bachelors,45.2083,-112.6393,34900,28900,31700,26700,Public,0.0069,0.011,0.56999999284744,0.0248,,0.177,0.8182,0.4235,,0.8753,Bachelors,"Rocky Mountains (CO, ID,MT, UT, WY)",,,,,,The University of Montana-Western,www.umwestern.edu,6666.0,MT,4141.0,14860.0,180692,1452.0,59725-3598,0.25999999046325,47130.38
2172,2172,,,,,,,,18555.0,,,,Fremont,,,COED,Certificate,41.4458,-96.482,16300,16200,16000,14800,Private for-profit,0.0,0.0303,0.94999998807907,0.1818,,0.0,,0.7455,,0.7879,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,La'James International College,www.lajamesinternational.com,3134.0,NE,,,180771,33.0,68025,0.09000000357627,42768.36
2173,2173,,,,,,,20250.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)",Higher part-time four-year,Bellevue,0.3942,5456.0,COED,Graduate,41.1502,-95.9176,57900,50800,52200,45000,Private nonprofit,0.0171,0.1063,0.55000001192092,0.0691,,0.1565,0.9892,0.2997,,0.5258,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Bellevue University,bellevue.edu,2342.0,NE,6300.0,6300.0,180814,6134.0,68005-3098,0.74000000953674,55683.67
2174,2174,24.0,23.0,22.0,,0.6056,,22322.0,,Special Focus Institutions--Other health professions schools,,,Omaha,0.4839,5474.0,COED,Graduate,41.2592,-95.9772,47800,46200,48100,46200,Private nonprofit,0.0257,0.045,0.9200000166893,0.0373,,0.4267,0.7639,0.3776,,0.7712,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)","Episcopal Church, Reformed",,1110.0,,,Clarkson College,www.clarksoncollege.edu/,9266.0,NE,12880.0,12880.0,180832,778.0,68131-2739,0.34999999403953,66396.06
2175,2175,23.0,24.0,22.0,,0.7167,,26429.0,,Special Focus Institutions--Other health professions schools,,,Lincoln,0.5556,5510.0,COED,Graduate,40.7968,-96.6515,52200,44800,50500,45900,Private nonprofit,0.0202,0.0169,0.89999997615814,0.0337,,0.4975,0.5072,0.3574,,0.9157,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,1070.0,,,Bryan College of Health Sciences,www.bryanhealth.com/CollegeofHealthSciences,13430.0,NE,12711.0,12711.0,180878,593.0,68506-1299,0.51999998092651,54096.53
2176,2176,,,,,,,10671.0,,Associate's--Public Rural-serving Large,"Medium 2-year (2000 to 4,999)",Higher part-time two-year,Grand Island,,5722.0,COED,Associate,40.8896,-98.3725,30800,26700,28000,25000,Public,0.0056,0.0211,0.63999998569488,0.1622,,0.495,0.4534,0.2946,,0.7818,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Central Community College,www.cccneb.edu,6540.0,NE,2700.0,3900.0,180902,4321.0,68802-4903,0.37000000476837,37269.84
2177,2177,,,,,,,15402.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Chadron,0.3325,6702.0,COED,Graduate,42.8207,-103.0028,41400,33400,37500,28600,Public,0.0042,0.0296,0.56999999284744,0.0591,,0.1713,1.0,0.334,,0.7471,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Chadron State College,www.csc.edu,4850.0,NE,5600.0,5630.0,180948,2131.0,69337-2690,0.18000000715255,52351.48
2178,2178,,,,,,,,13073.0,,,,Lincoln,,,COED,Certificate,40.8112,-96.7051,22000,19400,18100,18100,Private for-profit,0.0086,0.1552,0.94999998807907,0.0776,,0.0,,0.446,,0.7241,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,College of Hair Design-Downtown,collegeofhairdesign.com,2696.0,NE,,,180957,116.0,68508-2199,0.15999999642372,52258.99
2179,2179,24.0,24.0,24.0,,0.7152,,33226.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Seward,0.6364,6086.0,COED,Graduate,40.9149,-97.0891,38100,32100,36600,30500,Private nonprofit,0.0051,0.0363,0.50999999046325,0.0371,,0.0439,0.8625,0.2242,,0.854,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Lutheran Church - Missouri Synod,535.0,1091.0,500.0,,Concordia University-Nebraska,www.cune.edu,5404.0,NE,24750.0,24750.0,180984,1185.0,68434-1556,0.03999999910593,77896.81
2180,2180,27.0,28.0,27.0,9.0,0.7665,,46248.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, lower transfer-in",Omaha,0.7592,9081.0,COED,Graduate,41.2653,-95.947,67500,48100,57800,44100,Private nonprofit,0.0933,0.0249,0.63999998569488,0.0697,,0.0388,0.6756,0.191,,0.7375,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Roman Catholic,600.0,1214.0,580.0,560.0,Creighton University,www.creighton.edu,13789.0,NE,34330.0,34330.0,181002,3943.0,68178,0.11999999731779,101259.23
2181,2181,24.0,24.0,23.0,,0.7173,,36370.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, lower transfer-in",Crete,0.6062,5902.0,COED,Bachelors,40.6231,-96.9497,46700,34700,42300,33600,Private nonprofit,0.0162,0.0387,0.60000002384185,0.0576,,0.0045,0.626,0.3386,,0.8353,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,493.0,1077.0,473.0,458.0,Doane College-Crete,www.doane.edu,10167.0,NE,26180.0,26180.0,181020,1111.0,68333,0.23999999463558,64588.47
2182,2182,22.0,21.0,21.0,,0.5846,,27873.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily residential (less than 1,000)","Medium full-time four-year, selective, higher transfer-in",Omaha,0.5244,5045.0,COED,Graduate,41.2447,-95.9279,32800,23300,33400,23400,Private nonprofit,0.0268,0.0927,0.58999997377395,0.1024,,0.1683,0.3676,0.4906,,0.7463,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Interdenominational,476.0,995.0,433.0,454.0,Grace University,www.GraceUniversity.edu,9292.0,NE,18256.0,18256.0,181093,410.0,68108-3629,0.27000001072883,62069.08
2183,2183,24.0,23.0,23.0,,0.7364,,35673.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Hastings,0.5762,6292.0,COED,Graduate,40.5904,-98.3736,44500,34400,40400,33000,Private nonprofit,0.016,0.0292,0.47999998927116,0.0519,,0.0094,1.0,0.3124,,0.8462,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Presbyterian Church (USA),495.0,1083.0,495.0,,Hastings College,www.hastings.edu,7894.0,NE,25520.0,25520.0,181127,1060.0,68901,0.01999999955296,80636.78
2184,2184,,,,,,,,,Associate's--Private Not-for-profit,Very small 2-year (less than 500),Higher full-time two-year,Omaha,,,COED,Associate,41.322,-96.0197,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.0,0.0,0.88999998569488,0.0455,,0.0,,0.1667,,0.9545,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",Roman Catholic,,,,,Alegent Creighton Health School of Radiologic Technology,www.alegent.com,7500.0,NE,,,181145,22.0,68124,0.57999998331069,58751.42
2185,2185,,,,,,,,16388.0,,,,Lincoln,,,COED,Certificate,40.8135,-96.6885,16600,15700,15400,14000,Private for-profit,0.0107,0.0391,0.81999999284744,0.1566,,0.0,,0.4703,,0.7438,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Joseph's College,josephscollege.edu,7212.0,NE,,,181190,281.0,68510-2226,0.41999998688697,26350.14
2186,2186,23.0,22.0,22.0,,0.8486,,19212.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Full-time four-year, selective, higher transfer-in",Kearney,0.5322,7013.0,COED,Graduate,40.7008,-99.0982,42200,33800,38800,31800,Public,0.0078,0.0164,0.56999999284744,0.0879,,0.1039,0.7265,0.3442,,0.8003,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,495.0,1049.0,470.0,,University of Nebraska at Kearney,www.unk.edu,7552.0,NE,6542.0,12370.0,181215,5247.0,68849-1212,0.10999999940395,62130.67
2187,2187,,,,,,,25840.0,,Associate's--Private For-profit 4-year Primarily Associate's,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Lincoln,0.3976,4498.0,COED,Graduate,40.8089,-96.6942,40100,33000,34400,27800,Private for-profit,0.017,0.1019,0.76999998092651,0.0743,,0.3355,0.1875,0.7427,,0.7601,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Kaplan University-Lincoln Campus,www.kaplanuniversity.edu/lincoln-nebraska.aspx,2554.0,NE,15352.0,15352.0,181242,471.0,68508,0.57999998331069,24105.78
2188,2188,23.0,22.0,20.0,,0.3333,,23987.0,,Special Focus Institutions--Other health professions schools,,,Omaha,0.68,5994.0,COED,Graduate,41.266,-96.0485,45900,44800,43900,44800,Private nonprofit,0.0162,0.0459,0.89999997615814,0.0338,,0.3743,0.8226,0.3497,,0.823,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",United Methodist,,1070.0,,,Nebraska Methodist College of Nursing & Allied Health,www.methodistcollege.edu,9227.0,NE,13302.0,13302.0,181297,740.0,68114-2852,0.41999998688697,60558.1
2189,2189,,,,,,,11490.0,,Associate's--Public Urban-serving Multicampus,"Very large 2-year (10,000 or more)",Mixed part/full-time two-year,Omaha,,6622.0,COED,Associate,41.3055,-95.9587,31200,26600,28300,24300,Public,0.0292,0.1612,0.64999997615814,0.1034,,0.559,0.1995,0.3318,,0.6253,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Metropolitan Community College Area,www.mccneb.edu,4365.0,NE,2610.0,3803.0,181303,7737.0,68111-1610,0.56000000238418,27788.32
2190,2190,,,,,,,10126.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,North Platte,,5918.0,COED,Associate,41.1104,-100.7484,31900,26500,29400,23500,Public,0.0077,0.0397,0.61000001430511,0.0786,,0.3535,0.1947,0.3088,,0.8072,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Mid-Plains Community College,www.mpcc.edu,5986.0,NE,2760.0,3450.0,181312,1437.0,69101,0.31000000238418,38496.01
2191,2191,21.0,20.0,20.0,,0.6832,,36214.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, lower transfer-in",Fremont,0.493,5733.0,COED,Graduate,41.4368,-96.4884,43700,34200,40100,33200,Private nonprofit,0.0084,0.0496,0.56000000238418,0.0303,,0.0219,1.0,0.4339,,0.7073,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Evangelical Lutheran Church,,970.0,,,Midland University,www.midlandu.edu,4625.0,NE,27146.0,27146.0,181330,1189.0,68025,0.09000000357627,68281.17
2192,2192,,,,,,,22658.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Papillion,0.2444,5121.0,COED,Bachelors,41.1231,-96.0944,29300,26900,23800,24600,Private nonprofit,0.0,0.0467,0.46000000834465,0.0133,,0.16,0.4615,0.6861,,0.94,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Christian Churches and Churches of Christ,,,,,Nebraska Christian College,nechristian.edu,6283.0,NE,11300.0,11300.0,181376,150.0,68046,0.05999999865889,56136.35
2193,2193,23.0,23.0,21.0,7.0,0.7078,,16860.0,,Doctoral/Research Universities,"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, higher transfer-in",Omaha,0.4211,7860.0,COED,Graduate,41.2577,-96.0108,46500,35700,41800,33600,Public,0.0267,0.0652,0.55000001192092,0.0871,,0.2227,0.4981,0.3252,,0.7234,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,1070.0,,,University of Nebraska at Omaha,www.unomaha.edu,7900.0,NE,6550.0,16890.0,181394,12153.0,68182-0225,0.18000000715255,67569.73
2194,2194,,,,,,,24424.0,,Associate's--Private For-profit 4-year Primarily Associate's,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Omaha,0.3686,4523.0,COED,Graduate,41.3095,-96.0728,40100,33000,34400,27800,Private for-profit,0.0151,0.2596,0.76999998092651,0.0769,,0.3201,0.1429,0.8155,,0.625,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Kaplan University-Omaha Campus,www.kaplanuniversity.edu/omaha-nebraska.aspx?wid=1,2242.0,NE,15352.0,15352.0,181400,728.0,68134-1002,0.57999998331069,24105.78
2195,2195,,,,,,,10728.0,,Tribal Colleges,Very small 2-year (less than 500),Medium full-time two-year,Macy,,2859.0,COED,Associate,42.0748,-96.3177,19700,PrivacySuppressed,17400,PrivacySuppressed,Public,0.0,0.0,0.56000000238418,0.0,,0.4555,1.0,0.6533,,0.0157,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Nebraska Indian Community College,www.thenicc.edu,5676.0,NE,4080.0,4080.0,181419,191.0,68039-0428,0.62999999523162,10686.82
2196,2196,,,,,,,,,Special Focus Institutions--Medical schools and medical centers,,,Omaha,,10074.0,COED,Graduate,41.2551,-95.9763,88200,66500,64200,56300,Public,0.0185,0.0123,0.80000001192092,0.0272,,0.1173,0.8245,0.2274,,0.9148,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,University of Nebraska Medical Center,www.unmc.edu,48091.0,NE,,,181428,810.0,68198-7815,0.37999999523162,57851.41
2197,2197,24.0,24.0,23.0,,0.7689,,36429.0,,Baccalaureate Colleges--Arts & Sciences,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, more selective, lower transfer-in",Lincoln,0.6849,6285.0,COED,Graduate,40.8388,-96.6484,50400,36900,45500,34100,Private nonprofit,0.0233,0.0291,0.60000002384185,0.0396,,0.166,0.4538,0.2688,,0.8319,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",United Methodist,560.0,1109.0,540.0,,Nebraska Wesleyan University,www.nebrwesleyan.edu/,6896.0,NE,27242.0,27242.0,181446,1892.0,68504-2794,0.11999999731779,79498.08
2198,2198,25.0,25.0,25.0,,0.6404,,21024.0,,Research Universities (very high research activity),"Large 4-year, primarily residential (over 9,999)","Full-time four-year, more selective, higher transfer-in",Lincoln,0.6678,10085.0,COED,Graduate,40.8223,-96.7022,49800,37300,43800,34400,Public,0.0224,0.024,0.5,0.0467,,0.0658,0.9234,0.1979,,0.8002,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,595.0,1147.0,575.0,,University of Nebraska-Lincoln,www.unl.edu/,10583.0,NE,8060.0,21388.0,181464,19376.0,68588,0.05999999865889,81338.55
2199,2199,,,,,,,11324.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Norfolk,,5749.0,COED,Associate,42.0493,-97.3976,35800,30800,33000,27400,Public,0.0043,0.0192,0.51999998092651,0.1021,,0.2372,0.4126,0.2878,,0.814,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Northeast Community College,www.northeast.edu,5494.0,NE,2910.0,3855.0,181491,2812.0,68702-0469,0.25,42020.14
2200,2200,,,,,,,15207.0,,Master's Colleges and Universities (larger programs),"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Peru,0.401,6725.0,COED,Graduate,40.4747,-95.7327,38800,31300,35800,29700,Public,0.0098,0.0626,0.55000001192092,0.0528,,0.2327,1.0,0.3296,,0.8123,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Peru State College,www.peru.edu,4523.0,NE,6188.0,6188.0,181534,1534.0,68421-0010,0.31000000238418,52361.75
2201,2201,23.0,24.0,21.0,7.0,0.5701,,36592.0,,Master's Colleges and Universities (smaller programs),"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, selective, higher transfer-in",Omaha,0.4194,5984.0,WOMENONLY,Graduate,41.2409,-96.0202,39300,38400,35800,37700,Private nonprofit,0.0145,0.0593,1,0.1085,,0.0753,1.0,0.4271,,0.7844,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Roman Catholic,,1070.0,,,College of Saint Mary,WWW.CSM.EDU,6776.0,NE,26934.0,26934.0,181604,691.0,68106,0.47999998927116,52522.1
2202,2202,,,,,,,10071.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Lincoln,,5243.0,COED,Associate,40.8108,-96.6282,37400,31600,35200,29600,Public,0.0262,0.0576,0.51999998092651,0.0532,,0.4019,0.4536,0.4198,,0.8299,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Southeast Community College Area,www.southeast.edu,5787.0,NE,2554.0,3139.0,181640,7512.0,68510-2449,0.30000001192092,45544.6
2203,2203,23.0,23.0,21.0,,0.5229,,30383.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Lincoln,0.372,5335.0,COED,Graduate,40.7748,-96.6511,42200,33900,33300,29700,Private nonprofit,0.0316,0.0619,0.60000002384185,0.0685,,0.0606,0.9412,0.3555,,0.5968,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Seventh Day Adventists,505.0,1050.0,,505.0,Union College,www.ucollege.edu,9339.0,NE,20470.0,20470.0,181738,759.0,68506,0.10999999940395,60873.43
2204,2204,,,,,,,21473.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Omaha,,3611.0,COED,Associate,41.2172,-96.0979,33700,23700,33300,22700,Private for-profit,0.0061,0.3394,0.70999997854232,0.0758,,0.0,0.375,0.3153,,0.5364,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Vatterott College-Spring Valley,www.vatterott.edu,2689.0,NE,12538.0,12538.0,181756,330.0,68137,0.66000002622604,26148.58
2205,2205,,,,,,,15731.0,,Associate's--Public 2-year colleges under 4-year universities,Very small 2-year (less than 500),Mixed part/full-time two-year,Curtis,,5545.0,COED,Associate,40.6355,-100.5102,49800,37300,43800,34400,Public,0.0044,0.0,0.5,0.0267,,0.0489,0.6429,0.3233,,0.9467,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Nebraska College of Technical Agriculture,NCTA.UNL.EDU,7494.0,NE,4530.0,8706.0,181765,225.0,69025-9552,0.05999999865889,81338.55
2206,2206,,,,,,,15002.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Full-time four-year, inclusive",Wayne,0.4557,7206.0,COED,Graduate,42.2416,-97.0142,39000,30700,36400,29100,Public,0.0041,0.0272,0.56000000238418,0.069,,0.0576,0.5733,0.3967,,0.7993,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Wayne State College,www.wsc.edu,6074.0,NE,5574.0,9774.0,181783,2900.0,68787,0.09000000357627,61864.66
2207,2207,,,,,,,,,,,,Scottsbluff,,,COED,Certificate,41.8833,-103.6688,,,,,Private nonprofit,0.0,0.0,,0.0,,0.0,,0.0,,0.875,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Regional West Medical Center School of Radiologic Technology,www.rwmc.net/sort,18949.0,NE,,,181792,8.0,69361,,
2208,2208,,,,,,,11346.0,,Associate's--Public Rural-serving Large,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Scottsbluff,,5789.0,COED,Associate,41.8757,-103.6425,30200,27400,26500,24500,Public,0.0054,0.023,0.63999998569488,0.1955,,0.3823,1.0,0.3552,,0.7091,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Western Nebraska Community College,www.wncc.edu,6494.0,NE,2388.0,2724.0,181817,1478.0,69361-1899,0.40000000596046,30617.39
2209,2209,20.0,20.0,20.0,,0.489,,26127.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",York,0.3933,4936.0,COED,Bachelors,40.8675,-97.5793,34500,26800,32300,24900,Private nonprofit,0.0132,0.1425,0.54000002145767,0.068,,0.0307,0.7234,0.4936,,0.7193,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",Churches of Christ,440.0,924.0,440.0,,York College,www.york.edu/,5385.0,NE,15600.0,15600.0,181853,456.0,68467-2699,0.05000000074505,64269.03
2210,2210,,,,,,,,16926.0,,,,Las Vegas,,,COED,Certificate,36.1601,-115.1918,26500,20500,19400,18100,Private for-profit,0.0779,0.2468,0.93000000715255,0.2338,,0.0,,0.5703,,0.4026,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Academy of Hair Design-Las Vegas,www.ahdvegas.com/,4870.0,NV,,,181880,154.0,89146,0.52999997138977,40831.75
2211,2211,,,,,,,,15268.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Sparks,,3567.0,COED,Associate,39.511,-119.7507,29100,23800,26800,23300,Private for-profit,0.0629,0.045,0.83999997377395,0.2104,,0.0,0.5106,0.7935,,0.5755,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Career College of Northern Nevada,www.ccnn.edu,3056.0,NV,,,181941,556.0,89434-7905,0.72000002861022,29928.14
2212,2212,,,,,,,11838.0,,Associate's--Public 4-year Primarily Associate's,"Large 4-year, primarily nonresidential (over 9,999)",Higher part-time four-year,Las Vegas,0.091,6779.0,COED,Bachelors,36.1584,-115.2338,35700,29200,31900,26500,Public,0.0911,0.1161,0.68000000715255,0.2676,,0.7139,0.386,0.2993,,0.369,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,College of Southern Nevada,www.csn.edu,5404.0,NV,2700.0,9345.0,182005,29848.0,89146-1164,0.56000000238418,25439.46
2213,2213,,,,,,,29598.0,,"Special Focus Institutions--Schools of art, music, and design",,,Henderson,0.3209,4747.0,COED,Bachelors,36.0258,-115.0883,29100,26800,25200,25500,Private for-profit,0.0182,0.0164,0.46000000834465,0.289,,0.2634,0.2941,0.6488,,0.0574,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,The Art Institute of Las Vegas,www.ailv.artinstitutes.edu,3477.0,NV,17416.0,17416.0,182111,1097.0,89074-7737,0.43999999761581,51099.66
2214,2214,,,,,,,26616.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Medium full-time two-year,Henderson,,4023.0,COED,Associate,36.0378,-115.0461,27300,24200,24800,22800,Private for-profit,0.0612,0.2,0.80000001192092,0.3388,,0.2197,,0.727,,0.2601,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Everest College-Henderson,www.everest.edu/campus/henderson,5413.0,NV,15552.0,15552.0,182148,915.0,89074,0.66000002622604,27550.48
